naics2,change,earn_res1970,earn_res1980,earn_res1990,earn_res2000,earn_res2015,num_top11970,num_top11980,num_top11990,num_top12000,num_top12015,sh_change,sh_top11970,sh_top11980,sh_top11990,sh_top12000,sh_top12015,top11970,top11980,top11990,top12000,top12015,us_change,us_num_top11970,us_num_top11980,us_num_top11990,us_num_top12000,us_num_top12015,xsh_top1
"54",129565,.1858157,.1340235,.2059826,.2215237,.263787,83700,103220,183750,209566,232785,.4619155,.1145634,.111159,.1652116,.1627816,.1925315,.0529948,.035984,.0386112,.0295537,.0253374,280495,730600,928580,1112210,1287406,1209075,.0813725
"62",65410,.0629133,.0161257,.0278604,.0043021,.0428628,123600,166220,216062,225896,231630,.2331949,.169176,.1790045,.1942637,.175466,.1915762,.0287937,.0211427,.019722,.0162958,.0118106,280495,730600,928580,1112210,1287406,1209075,.0125717
"52",127674,.2401988,.2027971,.2855711,.305986,.3601624,59200,80000,138614,200696,207674,.4551739,.0810293,.0861531,.1246293,.1558918,.1717627,.0213403,.0185048,.0238951,.0314741,.0308089,280495,730600,928580,1112210,1287406,1209075,.0856097
"31-33",-8185,.1579719,.1641338,.1838782,.1683222,.1771467,119000,145500,140651,175198,137315,-.0291806,.1628798,.1566909,.1264608,.136086,.1135703,.0069771,.0072354,.0074868,.0095941,.0090953,280495,730600,928580,1112210,1287406,1209075,-.0431206
"44-45",-7839,-.1027639,-.1239548,-.1251312,-.0959621,-.1537679,56600,64380,62210,84656,56541,-.027947,.0774706,.0693317,.0559337,.065757,.0467638,.0075254,.0064669,.0050173,.0061302,.0035523,280495,730600,928580,1112210,1287406,1209075,-.0225678
"42",-20464,.1239754,.1093659,.1514211,.1302291,.1628514,56000,72220,69278,64169,51756,-.0729567,.0766493,.0777747,.0622886,.0498436,.0428063,.0196085,.0180345,.0142298,.0143422,.0133545,280495,730600,928580,1112210,1287406,1209075,-.0349684
"51",23733,.159886,.1728504,.1297146,.1764522,.1514127,11600,16240,23705,38912,39973,.0846111,.0158774,.0174891,.0213134,.0302251,.0330608,.0070423,.0073248,.0090366,.0134977,.015836,280495,730600,928580,1112210,1287406,1209075,.0155717
"23",-18781,.0944488,.0300709,.0346109,.0546942,.0377521,38600,57840,58363,64619,39059,-.0669566,.0528333,.0622887,.0524748,.0501932,.0323049,.0094829,.0105084,.0083272,.0075584,.0042072,280495,730600,928580,1112210,1287406,1209075,-.0299838
"53",-159,-.0110376,-.0140305,.0565319,.0804335,.0611258,19400,38220,52828,43534,38061,-.0005669,.0265535,.0411596,.0474982,.0338153,.0314794,.0299521,.0290704,.0252,.0213233,.0160494,280495,730600,928580,1112210,1287406,1209075,-.0096802
"61",13642,-.1855491,-.2526384,-.261533,-.2723217,-.2623858,20100,16580,18597,23677,30222,.0486354,.0275116,.0178552,.0167208,.0183912,.024996,.0035248,.0021048,.0020547,.0021616,.0023399,280495,730600,928580,1112210,1287406,1209075,.0071407
"56",12441,-.1049383,-.1884156,-.1815799,-.131671,-.2064832,7500,14700,23992,35229,27141,.0443537,.0102655,.0158306,.0215715,.0273643,.0224477,.0073717,.0077974,.0068886,.0076192,.0041636,280495,730600,928580,1112210,1287406,1209075,.0066171
"48-49",-13619,.106307,.1902102,.1475558,.1035682,.0602985,25600,38080,32505,31787,24461,-.0485535,.0350397,.0410089,.0292256,.0246907,.0202312,.0075664,.009211,.0065501,.0055877,.0038887,280495,730600,928580,1112210,1287406,1209075,-.0207777
"21",4719,.1398011,.3172143,.2631694,.2663225,.5722957,6400,15820,8905,4605,20539,.0168238,.0087599,.0170368,.0080066,.003577,.0169874,.0108401,.0157614,.0125239,.0094847,.0236884,280495,730600,928580,1112210,1287406,1209075,-.0000494
"81",3498.999,-.3717057,-.3350796,-.2943603,-.2310452,-.2681784,17700,15560,14912,21050,19059,.0124744,.0242267,.0167568,.0134075,.0163507,.0157633,.0047546,.0040031,.0031428,.0034625,.0027258,280495,730600,928580,1112210,1287406,1209075,-.0009935
"72",-1233,-.3301029,-.3598813,-.2934864,-.2612753,-.2571302,10500,15520,16836,20599,14287,-.0043958,.0143717,.0167137,.0151374,.0160004,.0118165,.0041453,.0035834,.0028359,.0029869,.0013609,280495,730600,928580,1112210,1287406,1209075,-.0048972
"71",4836,-.2209582,-.3143948,-.2518462,-.2273182,-.321788,3700,7340,12377,14515,12176,.0172409,.0050643,.0079045,.0111283,.0112746,.0100705,.0110415,.0097355,.0094837,.0070242,.004166,280495,730600,928580,1112210,1287406,1209075,.002166
"92",-257.999,.158006,.0919904,.0998095,.1301052,.2442153,10600,10400,8201,14135,10142,-.0009198,.0145086,.0111999,.0073736,.0109794,.0083882,.0032679,.0021427,.0011811,.0019813,.001342,280495,730600,928580,1112210,1287406,1209075,-.0028117
"22",4804,.1658966,.221838,.3236489,.3081193,.4311346,2200,3840,3811,7029,8644,.0171269,.0030112,.0041353,.0034265,.0054598,.0071493,.0027788,.0034547,.003089,.0063613,.0074563,280495,730600,928580,1112210,1287406,1209075,.0030139
"11",-23870,-.4147665,-.2925844,-.3070627,-.2822535,-.1397017,18200,31480,13730,7526,7610,-.0850996,.024911,.0339012,.0123448,.0058459,.0062941,.0085571,.0138313,.0065512,.0044852,.0042348,280495,730600,928580,1112210,1287406,1209075,-.0276072
