CNTRYID,country_name
36,"Australia"
40,"Austria"
56,"Belgium"
124,"Canada"
196,"Cyprus"
203,"Czech Republic"
208,"Denmark"
233,"Estonia"
246,"Finland"
250,"France"
276,"Germany"
372,"Ireland"
380,"Italy"
392,"Japan"
410,"Korea"
528,"Netherlands"
578,"Norway"
616,"Poland"
643,"Russian Federation"
703,"Slovak Republic"
724,"Spain"
752,"Sweden"
826,"United Kingdom"
840,"United States"
152,"Chile"
300,"Greece"
376,"Israel"
440,"Lithuania"
554,"New Zealand"
702,"Singapore"
705,"Slovenia"
